2026-08-31 10:58:36,944 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 10:58:36,944 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['架构测试不应调用模型方法：describe_image']
2026-08-31 10:58:36,945 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 10:58:36,985 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=chunk-partial，image_index=0，status=model_error，errors=['VLM 图片描述失败：service unavailable']
2026-08-31 12:14:40,072 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 12:14:40,072 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 12:14:40,073 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 12:14:40,074 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['架构测试不应调用模型方法：describe_image']
2026-08-31 12:14:40,074 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=0，status=model_error，errors=['VLM地图空间抽取失败：架构测试不应调用模型方法：describe_image']
2026-08-31 12:14:40,074 | WARNING | mul_tree_mmkg.extractors.image_extractor.pipeline | [图片抽取/单图] 模型调用存在错误：chunk=doc-1:section:1:image:0，image_index=1，status=model_error，errors=['架构测试不应调用模型方法：describe_image']
